station,horizon,dm_hln_stat_rectangular_canonical,p_raw_rectangular_canonical,p_fdr_station_rectangular_canonical,p_bonf_station_rectangular_canonical,p_fdr_global_rectangular_canonical,p_bonf_global_rectangular_canonical,favours_rectangular_canonical,classification_rectangular_canonical,dm_stat_bartlett,p_raw_bartlett,p_fdr_station_bartlett,p_bonf_station_bartlett,p_fdr_global_bartlett,p_bonf_global_bartlett,favours_bartlett,long_run_var_bartlett,bonf_global_status_rectangular,bonf_global_status_bartlett,fdr_global_status_rectangular,fdr_global_status_bartlett,fdr_station_status_rectangular,fdr_station_status_bartlett,status_changed_any_level
Henry Street Limerick,12,0.4099540303081804,0.6822595648016925,0.6822595648016925,1.0,0.829627020992038,1.0,lags_meteo,DIRECTION_ONLY,0.4059342745465447,0.6852061854939655,0.6852061854939655,1.0,0.8414344384585383,1.0,lags_meteo,9668.90002669025,NS,NS,NS,NS,NS,NS,False
Henry Street Limerick,24,0.8670162204294419,0.3869227080525059,0.515896944070008,1.0,0.5999945330561995,1.0,lags_meteo,DIRECTION_ONLY,0.9090767971056043,0.36435172492340695,0.48580229989787593,1.0,0.6027199573030017,1.0,lags_meteo,3096.5916274876854,NS,NS,NS,NS,NS,NS,False
Madrid Casa de Campo,1,1.1690171716711577,0.2431855134234477,0.4863710268468955,0.9727420536937912,0.5506900347658592,1.0,lags_meteo,DIRECTION_ONLY,1.1690171716711575,0.24318551342344777,0.48637102684689554,0.9727420536937911,0.6027199573030017,1.0,lags_meteo,311.95929795050347,NS,NS,NS,NS,NS,NS,False
Madrid Casa de Campo,6,-0.048395868067895,0.9614279675871852,0.9614279675871852,1.0,0.9614279675871852,1.0,lags_only,DIRECTION_ONLY,-0.049553736194064765,0.9605058825059962,0.9605058825059962,1.0,0.9605058825059962,1.0,lags_only,2665.8231129202086,NS,NS,NS,NS,NS,NS,False
Madrid Casa de Campo,12,2.5158855136761615,0.0123268176090465,0.0493072704361861,0.0493072704361861,0.0862877232633257,0.4314386,lags_meteo,FDR_STATION_SIGNIFICANT_ONLY,2.385760757473182,0.017582791286829488,0.07033116514731795,0.07033116514731795,0.1582451215814654,0.6329804863258616,lags_meteo,26130.385627456504,NS,NS,NS,NS,SIG,NS,True
Madrid Casa de Campo,24,0.8468743743798238,0.3976389144310406,0.5301852192413875,1.0,0.5999945330561995,1.0,lags_meteo,DIRECTION_ONLY,0.8336435551812127,0.40504560088149544,0.5400608011753273,1.0,0.6027199573030017,1.0,lags_meteo,961854.7750343198,NS,NS,NS,NS,NS,NS,False
Pearse Street Dublin,1,1.8465217600926176,0.0662170090370009,0.0882893453826679,0.2648680361480037,0.3553248593127098,1.0,lags_meteo,DIRECTION_ONLY,1.8465217600926176,0.06621700903700094,0.08828934538266792,0.26486803614800375,0.47676246506640674,1.0,lags_meteo,3542.4602459322787,NS,NS,NS,NS,NS,NS,False
Pearse Street Dublin,6,3.0820560720371746,0.0023299539320384,0.0046599078640769,0.0093198157281539,0.0271827958737822,0.0815483876213466,lags_meteo,FDR_GLOBAL_SIGNIFICANT,2.910299869911459,0.003998104859472143,0.015992419437888573,0.015992419437888573,0.11200015889932709,0.14393177494099715,lags_meteo,1041.5173405684748,NS,NS,SIG,NS,SIG,SIG,True
Pearse Street Dublin,12,3.2627209400021657,0.0012870319356812,0.0046599078640769,0.0051481277427248,0.0225230588744213,0.0450461177488427,lags_meteo,BONFERRONI_GLOBAL_SIGNIFICANT,2.6236992654826143,0.009333346574943923,0.018666693149887847,0.037333386299775694,0.11200015889932709,0.3360004766979812,lags_meteo,1439.319453298623,SIG,NS,SIG,NS,SIG,SIG,True
Pearse Street Dublin,24,0.8230217363607573,0.4114248226671082,0.4114248226671082,1.0,0.5999945330561995,1.0,lags_meteo,DIRECTION_ONLY,0.8105183816559804,0.4185555259048622,0.4185555259048622,1.0,0.6027199573030017,1.0,lags_meteo,128834.59252292759,NS,NS,NS,NS,NS,NS,False
Portlaoise (Co. Laois),1,1.2210152526271616,0.2234428722378567,0.2989460188728949,0.6703286167135701,0.5506900347658592,1.0,lags_meteo,DIRECTION_ONLY,1.2210152526271616,0.22344287223785672,0.3662228202116027,0.8937714889514269,0.6027199573030017,1.0,lags_meteo,1406.7226590181476,NS,NS,NS,NS,NS,NS,False
Portlaoise (Co. Laois),6,-1.0412610659146306,0.2989460188728949,0.2989460188728949,0.8968380566186849,0.5506900347658592,1.0,lags_only,DIRECTION_ONLY,-1.0503012539675374,0.29478107664977204,0.3662228202116027,1.0,0.6027199573030017,1.0,lags_only,255.50416846536507,NS,NS,NS,NS,NS,NS,False
Portlaoise (Co. Laois),12,1.8142150447167211,0.0710649718625419,0.2131949155876258,0.2131949155876258,0.3553248593127098,1.0,lags_meteo,DIRECTION_ONLY,1.7353590592890067,0.08413725177639934,0.3365490071055974,0.3365490071055974,0.5048235106583961,1.0,lags_meteo,994.0740478313403,NS,NS,NS,NS,NS,NS,False
Portlaoise (Co. Laois),24,,,,,,,undetermined,DIRECTION_ONLY,0.9055199491525809,0.3662228202116027,0.3662228202116027,1.0,0.6027199573030017,1.0,lags_meteo,1429.9176420672345,N/A,NS,N/A,NS,N/A,NS,True
Ringsend Dublin,1,1.2332601464379267,0.218850848114048,0.80330709697639,0.8754033924561923,0.5506900347658592,1.0,lags_meteo,DIRECTION_ONLY,1.2332601464379267,0.21885084811404806,0.8260651434564052,0.8754033924561923,0.6027199573030017,1.0,lags_meteo,1059.718568210085,NS,NS,NS,NS,NS,NS,False
Ringsend Dublin,6,-0.1796946718678519,0.8575647245562911,0.9198573817884654,1.0,0.9095383442263694,1.0,lags_only,DIRECTION_ONLY,-0.19021071629640482,0.8493268854596392,0.937951591550163,1.0,0.8992872904866768,1.0,lags_only,6762.74753349692,NS,NS,NS,NS,NS,NS,False
Ringsend Dublin,12,0.8403676271941022,0.401653548488195,0.80330709697639,1.0,0.5999945330561995,1.0,lags_meteo,DIRECTION_ONLY,0.8201914203060177,0.4130325717282026,0.8260651434564052,1.0,0.6027199573030017,1.0,lags_meteo,90037.74142434786,NS,NS,NS,NS,NS,NS,False
Ringsend Dublin,24,0.1007338622865682,0.9198573817884654,0.9198573817884654,1.0,0.9469120106645968,1.0,lags_meteo,DIRECTION_ONLY,0.07793754465731839,0.937951591550163,0.937951591550163,1.0,0.9605058825059962,1.0,lags_meteo,4361.86028286991,NS,NS,NS,NS,NS,NS,False
