station,window_start,window_end,n_hours_nominal,n_valid_observations,coverage,n_pairs,rho1
Madrid,2023-01-01 00:00:00,2023-07-31 23:00:00,5088,4987,0.9801493710691824,,
Birr co offlay,2023-01-01 00:00:00,2023-07-31 23:00:00,5088,5084,0.9992138364779874,,
Dublin Airport,2023-01-01 00:00:00,2023-07-31 23:00:00,5088,3480,0.6839622641509434,,
Dundalk Co Louth,2023-01-01 00:00:00,2023-07-31 23:00:00,5088,3637,0.7148191823899371,,
Pearse street dublin,2023-01-01 00:00:00,2023-07-31 23:00:00,5088,5087,0.9998034591194969,,
Ringsend dublin,2023-01-01 00:00:00,2023-07-31 23:00:00,5088,5086,0.9996069182389937,,
edenderry co offlay,2023-01-01 00:00:00,2023-07-31 23:00:00,5088,5028,0.9882075471698113,,
henry street Limerick,2023-01-01 00:00:00,2023-07-31 23:00:00,5088,5051,0.9927279874213837,,
porrlaoise co laois,2023-01-01 00:00:00,2023-07-31 23:00:00,5088,5087,0.9998034591194969,,
