station,horizon,n_pairs,n_dropped,dbar,lrv,max_lag,dm_stat,hln_factor,dm_hln_stat,p_raw,p_fdr_station,p_fdr_global,p_bonf_global,favours,status,status_reason
Madrid,1,354,0,1.0989615683091,311.95929795050347,0,1.170671832331838,0.9985865717317342,1.1690171716711575,0.24318551342344777,0.48637102684689554,0.6027199573030017,1.0,lags_meteo,OK,
Madrid,6,356,0,-0.1377302981316337,2665.8231129202086,5,-0.05033137813108626,0.9845495600180834,-0.049553736194064765,0.9605058825059962,0.9605058825059962,0.9605058825059962,1.0,lags_only,OK,
Madrid,12,346,0,21.445798084898154,26130.385627456504,11,2.467785184687621,0.9667619257448368,2.385760757473182,0.017582791286829488,0.07033116514731795,0.1582451215814654,0.6329804863258616,lags_meteo,OK,
Madrid,24,354,0,46.544226130825706,961854.7750343201,23,0.8929202912255222,0.9336147508049649,0.8336435551812126,0.40504560088149577,0.5400608011753277,0.6027199573030017,1.0,lags_meteo,OK,
Birr co offlay,1,211,0,10.413394123242297,3166.2381175746305,0,2.6882010533275196,0.9976275174167506,2.6818233431482272,0.007904486045247851,0.031617944180991404,0.11200015889932707,0.28456149762892263,lags_meteo,OK,
Birr co offlay,6,212,0,-3.2297592209022885,7845.181802141167,5,-0.5309291509203962,0.9740537484539447,-0.517153529617482,0.6055906736742444,0.6055906736742444,0.7786165804383142,1.0,lags_only,OK,
Birr co offlay,12,212,0,5.352708209291071,7027.959988317019,11,0.9296658108872229,0.9457517762152557,0.8792330919331871,0.3802751095795027,0.6055906736742444,0.6027199573030017,1.0,lags_meteo,OK,
Birr co offlay,24,212,0,3.2157683317901617,3486.886344795121,23,0.7929280632448846,0.8891478154191514,0.705030255218728,0.4815689369994003,0.6055906736742444,0.6667877589222465,1.0,lags_meteo,OK,
Dublin Airport,1,145,0,8.876919821008741,4238.008325018625,0,1.6419706715278426,0.9965457582448796,1.636298907873568,0.10396082211242062,0.41306756211383083,0.5346556565781632,1.0,lags_meteo,OK,
Dublin Airport,6,145,0,-2.283981450895424,8983.056060022174,5,-0.2901780237639601,0.962062785791548,-0.2791694779178415,0.7805153111803276,0.7805153111803276,0.8780797250778685,1.0,lags_only,OK,
Dublin Airport,12,145,0,-4.710884204740936,18452.80640727763,11,-0.41759493033726247,0.9206831977043337,-0.38447263580802926,0.7011953653821152,0.7805153111803276,0.8414344384585383,1.0,lags_only,OK,
Dublin Airport,24,145,0,10.411115406417819,6853.869046885203,23,1.5143050148012098,0.8379239392348956,1.2688724232053867,0.20653378105691542,0.41306756211383083,0.6027199573030017,1.0,lags_meteo,OK,
Dundalk Co Louth,1,151,0,18.798144433111016,42495.75054351805,0,1.1205486166316911,0.9966832412776431,1.116832027233653,0.2658519015356704,0.32487824119699016,0.6027199573030017,1.0,lags_meteo,OK,
Dundalk Co Louth,6,152,0,4.683340453342756,3174.574134670853,5,1.0247897832672477,0.9638101760210162,0.9877028213953449,0.32487824119699016,0.32487824119699016,0.6027199573030017,1.0,lags_meteo,OK,
Dundalk Co Louth,12,153,0,3.5848547332623237,1473.0949829312706,11,1.1553189634801984,0.9248308274837667,1.0684745930030795,0.28700042844231954,0.32487824119699016,0.6027199573030017,1.0,lags_meteo,OK,
Dundalk Co Louth,24,152,0,25.03414696149961,54788.34761214422,23,1.3185921627068815,0.8453883370636321,1.114722435695909,0.2667404338929092,0.32487824119699016,0.6027199573030017,1.0,lags_meteo,OK,
Pearse street dublin,1,212,0,7.565988813916462,3542.4602459322787,0,1.8508922319106471,0.9976387216161592,1.8465217600926176,0.06621700903700094,0.08828934538266792,0.47676246506640674,1.0,lags_meteo,OK,
Pearse street dublin,6,212,0,6.622472140421916,1041.5173405684748,5,2.987822668441858,0.9740537484539447,2.910299869911459,0.003998104859472143,0.015992419437888573,0.11200015889932707,0.14393177494099715,lags_meteo,OK,
Pearse street dublin,12,212,0,7.228489512032628,1439.319453298623,11,2.7741943832051055,0.9457517762152557,2.6236992654826143,0.009333346574943923,0.018666693149887847,0.11200015889932707,0.3360004766979812,lags_meteo,OK,
Pearse street dublin,24,212,0,22.471766651267156,128834.5925229276,23,0.9115676466841404,0.8891478154191514,0.8105183816559803,0.4185555259048622,0.4185555259048622,0.6027199573030017,1.0,lags_meteo,OK,
Ringsend dublin,1,212,0,2.7638135494325464,1059.718568210085,0,1.2361791094476209,0.9976387216161592,1.2332601464379267,0.21885084811404806,0.8260651434564052,0.6027199573030017,1.0,lags_meteo,OK,
Ringsend dublin,6,212,0,-1.1029243268646565,6762.747533496921,5,-0.1952774337127849,0.9740537484539447,-0.19021071629640482,0.8493268854596392,0.937951591550163,0.8992872904866768,1.0,lags_only,OK,
Ringsend dublin,12,212,0,17.87238132859101,90037.74142434783,11,0.8672375150996702,0.9457517762152557,0.8201914203060178,0.4130325717282026,0.8260651434564052,0.6027199573030017,1.0,lags_meteo,OK,
Ringsend dublin,24,212,0,0.3975948025677313,4361.860282869912,23,0.08765420474049974,0.8891478154191514,0.07793754465731838,0.937951591550163,0.937951591550163,0.9605058825059962,1.0,lags_meteo,OK,
edenderry co offlay,1,208,0,3.4216046844757093,21064.48756831048,0,0.34000558430433303,0.9975932576417644,0.33918727846255114,0.7348125043072337,0.8428407841788979,0.8533306501632392,1.0,lags_meteo,OK,
edenderry co offlay,6,211,0,-21.395230521168504,60176.65480543146,5,-1.2669053696146042,0.9739307664767474,-1.2338781176822584,0.21862745008261628,0.8428407841788979,0.6027199573030017,1.0,lags_only,OK,
edenderry co offlay,12,211,0,3.4652261603343457,57479.6347371711,11,0.20994996772163504,0.9454946608180097,0.1985065735197194,0.8428407841788979,0.8428407841788979,0.8992872904866768,1.0,lags_meteo,OK,
edenderry co offlay,24,210,0,5.2760628311799955,13171.671554210332,23,0.6661916114050458,0.8880920464643275,0.5916394715100751,0.5547314390079532,0.8428407841788979,0.7396419186772709,1.0,lags_meteo,OK,
henry street Limerick,1,211,0,0.8001175467607401,159.70883388022133,0,0.9196668937641628,0.9976275174167506,0.9174850000763162,0.3599410464410071,0.48580229989787593,0.6027199573030017,1.0,lags_meteo,OK,
henry street Limerick,6,211,0,-17.33249905268745,34487.38994777146,5,-1.355727011360288,0.9739307664767474,-1.3203842473073553,0.18814402604000688,0.48580229989787593,0.6027199573030017,1.0,lags_only,OK,
henry street Limerick,12,210,0,2.914035048250424,9668.90002669025,11,0.4294532397569386,0.9452350965527582,0.4059342745465447,0.6852061854939655,0.6852061854939655,0.8414344384585383,1.0,lags_meteo,OK,
henry street Limerick,24,211,0,3.9190792032857225,3096.5916274876854,23,1.0230180597468523,0.8886224328537826,0.9090767971056043,0.36435172492340695,0.48580229989787593,0.6027199573030017,1.0,lags_meteo,OK,
porrlaoise co laois,1,212,0,3.15271057085878,1406.7226590181476,0,1.223905233599129,0.9976387216161592,1.2210152526271616,0.22344287223785672,0.36622282021160246,0.6027199573030017,1.0,lags_meteo,OK,
porrlaoise co laois,6,212,0,-1.1837555453747899,255.50416846536504,5,-1.0782785402085004,0.9740537484539447,-1.0503012539675374,0.29478107664977204,0.36622282021160246,0.6027199573030017,1.0,lags_only,OK,
porrlaoise co laois,12,212,0,3.973320694143413,994.0740478313403,11,1.834899074928128,0.9457517762152557,1.7353590592890067,0.08413725177639934,0.3365490071055974,0.504823510658396,1.0,lags_meteo,OK,
porrlaoise co laois,24,212,0,2.644914505956903,1429.9176420672336,23,1.0184132868005888,0.8891478154191514,0.9055199491525813,0.36622282021160246,0.36622282021160246,0.6027199573030017,1.0,lags_meteo,OK,
