station,horizon,n_origins_lags_only,n_origins_lags_meteo,n_origins_common,first_date,last_date,n_months,months,coverage_pct,exclusion_reason
Dublin Airport,18,145,145,145,2023-01-01,2023-05-25 00:00:00,5,2023-01;2023-02;2023-03;2023-04;2023-05,100.0,none
Dublin Airport,19,145,145,145,2023-01-01,2023-05-25 00:00:00,5,2023-01;2023-02;2023-03;2023-04;2023-05,100.0,none
Dublin Airport,20,145,145,145,2023-01-01,2023-05-25 00:00:00,5,2023-01;2023-02;2023-03;2023-04;2023-05,100.0,none
Dublin Airport,21,145,145,145,2023-01-01,2023-05-25 00:00:00,5,2023-01;2023-02;2023-03;2023-04;2023-05,100.0,none
Dublin Airport,22,145,145,145,2023-01-01,2023-05-25 00:00:00,5,2023-01;2023-02;2023-03;2023-04;2023-05,100.0,none
Dublin Airport,23,145,145,145,2023-01-01,2023-05-25 00:00:00,5,2023-01;2023-02;2023-03;2023-04;2023-05,100.0,none
Dublin Airport,24,145,145,145,2023-01-01,2023-05-25 00:00:00,5,2023-01;2023-02;2023-03;2023-04;2023-05,100.0,none
Dundalk Co Louth,1,154,154,154,2023-01-01,2023-06-03 00:00:00,6,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06,100.0,none
Dundalk Co Louth,2,154,154,154,2023-01-01,2023-06-03 00:00:00,6,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06,100.0,none
Dundalk Co Louth,3,154,154,154,2023-01-01,2023-06-03 00:00:00,6,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06,100.0,none
Dundalk Co Louth,4,154,154,154,2023-01-01,2023-06-03 00:00:00,6,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06,100.0,none
Dundalk Co Louth,5,154,154,154,2023-01-01,2023-06-03 00:00:00,6,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06,100.0,none
Dundalk Co Louth,6,154,154,154,2023-01-01,2023-06-03 00:00:00,6,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06,100.0,none
Dundalk Co Louth,7,154,154,154,2023-01-01,2023-06-03 00:00:00,6,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06,100.0,none
Dundalk Co Louth,8,154,154,154,2023-01-01,2023-06-03 00:00:00,6,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06,100.0,none
Dundalk Co Louth,9,154,154,154,2023-01-01,2023-06-03 00:00:00,6,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06,100.0,none
Dundalk Co Louth,10,154,154,154,2023-01-01,2023-06-03 00:00:00,6,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06,100.0,none
