claim_id,manuscript_value,regenerated_value,absolute_difference,status,source_file,source_row
IE-033,24,24,0.0,MATCH,results/e2_met_ireland_pm10_regenerated/metrics/hstar_summary_both_definitions.csv,"min=24, max=24, all_values=[24]"
IE-034,24,24,0.0,MATCH,results/e2_met_ireland_pm10_regenerated/metrics/hstar_summary_both_definitions.csv,"min=24, max=24, all_values=[24]"
IE-035,0.9,1.0,0.1,ROUNDING_MATCH,results/e2_met_ireland_pm10_regenerated/metrics/hstar_summary_both_definitions.csv,computed using H_strict_max_run (see note on H_star_strict_hours rows)
IE-036,23/8/1,24/7/1,,MISMATCH,results/e2_met_ireland_pm10_regenerated/stats/dm_lags_meteo_vs_lags_only.csv,
IE-037,25457,25465,8.0,ROUNDING_MATCH,reports/ireland_experiment_setup.md (regenerated),
IE-038,25462,25462,0.0,MATCH,reports/ireland_experiment_setup.md (regenerated),
IE-039,25596,25675,79.0,ROUNDING_MATCH,reports/ireland_experiment_setup.md (regenerated),
IE-040,22097,22098,1.0,ROUNDING_MATCH,reports/ireland_experiment_setup.md (regenerated),
IE-041,27036,27047,11.0,ROUNDING_MATCH,reports/ireland_experiment_setup.md (regenerated),
IE-042,16555,16784,229.0,MISMATCH,reports/ireland_experiment_setup.md (regenerated),
IE-043,18180,18279,99.0,ROUNDING_MATCH,reports/ireland_experiment_setup.md (regenerated),
IE-044,27046,27047,1.0,ROUNDING_MATCH,reports/ireland_experiment_setup.md (regenerated),
IE-045,12.8,12.8,0.0,MATCH,data_processed/ireland_pm10_meteorology_hourly.csv,manuscript_value resolved from manuscript_main.tex tab:descriptive (was a placeholder in the original claims CSV)
IE-046,12.5,12.5,0.0,MATCH,data_processed/ireland_pm10_meteorology_hourly.csv,manuscript_value resolved from manuscript_main.tex tab:descriptive (was a placeholder in the original claims CSV)
IE-047,31.4,31.4,0.0,MATCH,data_processed/ireland_pm10_meteorology_hourly.csv,manuscript_value resolved from manuscript_main.tex tab:descriptive (was a placeholder in the original claims CSV)
IE-048,19.1,19.1,0.0,MATCH,data_processed/ireland_pm10_meteorology_hourly.csv,manuscript_value resolved from manuscript_main.tex tab:descriptive (was a placeholder in the original claims CSV)
IE-049,16.1,16.1,0.0,MATCH,data_processed/ireland_pm10_meteorology_hourly.csv,manuscript_value resolved from manuscript_main.tex tab:descriptive (was a placeholder in the original claims CSV)
IE-050,46.9,46.9,0.0,MATCH,data_processed/ireland_pm10_meteorology_hourly.csv,manuscript_value resolved from manuscript_main.tex tab:descriptive (was a placeholder in the original claims CSV)
IE-051,11.4,11.4,0.0,MATCH,data_processed/ireland_pm10_meteorology_hourly.csv,manuscript_value resolved from manuscript_main.tex tab:descriptive (was a placeholder in the original claims CSV)
