horizon,rmse_lags_only,mae_lags_only,skill_rmse_lags_only,skill_mae_lags_only,rmse_lags_meteo,mae_lags_meteo,skill_rmse_lags_meteo,skill_mae_lags_meteo,delta_rmse_meteo_minus_lags,delta_mae_meteo_minus_lags,delta_skill_rmse_meteo_minus_lags,delta_skill_mae_meteo_minus_lags
1,9.29215967216523,7.951386451721191,0.1850236842846109,0.1165126164754232,6.78410931396363,5.644776344299316,0.4049942522332689,0.372802628411187,-2.5080503582016,-2.306610107421875,0.219970567948658,0.2562900119357638
2,10.559047840068306,10.543627738952637,0.0238156818604216,-0.1715141932169597,8.99916609204223,8.998991966247559,0.1680268004801244,0.0001120037502713,-1.5598817480260756,-1.5446357727050781,0.1442111186197028,0.171626196967231
3,11.849211768167628,11.425189018249512,0.0292747486527218,-0.142518901824951,10.544221819158643,10.302504539489746,0.1361836908711893,-0.0302504539489745,-1.3049899490089842,-1.1226844787597656,0.10690894221846751,0.11226844787597651
4,9.783421763944348,9.187941551208496,0.1369435301637412,-0.080934300142176,8.060273174404172,7.770076751708984,0.2889531822644694,0.0858733233283547,-1.7231485895401768,-1.4178647994995117,0.15200965210072823,0.16680762347053069
5,6.814698766263668,6.397479057312012,0.4177809924009672,0.4184109947898171,5.181520660025753,4.987425804138184,0.5573128145489392,0.5465976541692561,-1.6331781062379154,-1.4100532531738281,0.139531822147972,0.12818665937943902
6,7.067472219843248,6.799424171447754,0.4803891082729462,0.4769673714270959,6.574155582246671,6.418442726135254,0.5166584688012618,0.5062736364511343,-0.4933166375965774,-0.3809814453125,0.036269360528315586,0.029306265024038436
7,3.714577709483214,3.1464157104492188,0.7294461171962046,0.7669321695963541,2.738718738019509,2.5788583755493164,0.800523492458642,0.8089734536630135,-0.9758589714637051,-0.5675573348999023,0.0710773752624374,0.04204128406665941
8,2.3554352275285884,2.2876806259155273,0.8667564622375086,0.869275392804827,3.919302749296585,3.91873550415039,0.7782907558759444,0.7760722569056919,1.5638675217679965,1.6310548782348628,-0.08846570636156414,-0.09320313589913509
9,2.2895053440070776,1.7507977485656738,0.8673725164350603,0.8970118971431956,2.696155041026627,2.458146095275879,0.8438159319748751,0.8554031708661247,0.40664969701954945,0.7073483467102051,-0.02355658446018516,-0.04160872627707091
10,9.683221526683948,7.323160171508789,0.5164429926176057,0.6338419914245605,10.295060063837727,8.850151062011719,0.4858892341177089,0.557492446899414,0.6118385371537798,1.5269908905029297,-0.030553758499896833,-0.07634954452514653
11,11.163749377446544,11.07668399810791,0.4215751540178291,0.4012603244265994,12.41762143951398,11.77696418762207,0.3566085617143574,0.3634073412096178,1.253872062067435,0.7002801895141602,-0.06496659230347168,-0.037852983216981606
12,13.333891082179578,13.33041000366211,0.3462522036523606,0.3334794998168945,12.341457065380872,11.93591594696045,0.3949102845909171,0.4032042026519775,-0.9924340167987058,-1.3944940567016602,0.0486580809385565,0.06972470283508297
13,9.848418423115351,8.739829063415527,0.3967214482349556,0.3972531680403084,9.64615454273789,7.59592342376709,0.4091114032090553,0.4761432121539938,-0.2022638803774619,-1.1439056396484375,0.012389954974099726,0.07889004411368539
14,8.970542658023062,8.15690803527832,0.4790376152363245,0.4737478686917212,10.47255356076237,8.016473770141602,0.3918086468603403,0.4828081438618321,1.5020109027393076,-0.14043426513671875,-0.0872289683759842,0.009060275170110876
15,11.133004582804702,8.641660690307617,0.3824520173341856,0.4238892873128255,12.692570973164267,10.690346717834473,0.2959428390583133,0.2873102188110351,1.5595663903595653,2.0486860275268555,-0.08650917827587229,-0.1365790685017904
16,13.335380437041431,9.707091331481934,0.3523766756173011,0.4607171482510037,13.57214882399034,9.830477714538574,0.3408781862724708,0.4538623491923014,0.23676838694890812,0.12338638305664062,-0.011498489344830332,-0.006854799058702288
17,12.44224171388205,12.41005516052246,0.4251641617725042,0.4227881320687228,11.95027377063013,11.668737411499023,0.4478932496284931,0.4572680273721384,-0.49196794325191995,-0.7413177490234357,0.022729087855988872,0.03447989530341561
18,12.734743333460775,12.13767147064209,0.4100744067993481,0.4220156442551386,11.294907652348757,10.64235782623291,0.4767735067379915,0.4932210558936709,-1.4398356811120188,-1.4953136444091797,0.06669909993864342,0.07120541163853228
19,11.124831034775156,9.504451751708984,0.4216475741213491,0.440914602840648,11.028950140759372,8.327375411987305,0.426632184447214,0.5101543875301586,-0.09588089401578337,-1.1770763397216797,0.004984610325864891,0.06923978468951064
20,8.950080522048586,7.72370719909668,0.4836969335653441,0.4673305379933324,12.246322567363478,9.409290313720703,0.2935467029038012,0.3510834266399515,3.2962420453148926,1.6855831146240234,-0.1901502306615429,-0.1162471113533809
21,4.209830804007506,4.130451202392578,0.7056134354614927,0.6408303302267324,8.44966079628664,6.196134567260742,0.4091290768819939,0.4612056898034137,4.239829992279134,2.065683364868164,-0.2964843585794988,-0.17962464042331872
22,4.2858583652730955,3.8587703704833984,0.5766730845571536,0.5460270152372473,4.143573857254523,4.134034156799316,0.5907269465286206,0.5136430403765511,-0.14228450801857218,0.27526378631591797,0.014053861971466963,-0.03238397486069622
23,6.751474785407953,5.481605529785156,0.4089919529238139,0.4779423304966518,5.586689848564763,4.736626625061035,0.5109544563275583,0.5488927023751395,-1.1647849368431897,-0.7449789047241211,0.10196250340374441,0.07095037187848774
24,6.953443237592967,6.095747947692871,0.4545270345362103,0.4699349610701852,8.375637221954978,8.324564933776855,0.3429609594842693,0.27612478836723,1.4221939843620115,2.2288169860839844,-0.111566075051941,-0.1938101727029552
