metric,condition,horizon,old_value,new_value,absolute_difference,relative_difference,status
rmse,lags_only,1,5.111287696592806,5.180600096495178,0.06931239990237259,0.013560653208500936,MATERIAL_CHANGE
mae,lags_only,1,3.5124979914918457,3.5287382293391873,0.016240237847341632,0.004623557902859895,MATERIAL_CHANGE
skill_rmse_vs_persistence,lags_only,1,-0.0057993464864409,-0.1225813494726237,0.1167820029861828,20.137097043472693,MATERIAL_CHANGE
rmse,lags_only,6,6.0351571528177725,6.48102621156164,0.4458690587438676,0.07387861615760817,MATERIAL_CHANGE
mae,lags_only,6,4.151686432656278,4.414693617176365,0.2630071845200872,0.06334948190001272,MATERIAL_CHANGE
skill_rmse_vs_persistence,lags_only,6,0.2055610849944197,0.0337495820446362,0.17181150294978348,0.8358172606184074,MATERIAL_CHANGE
rmse,lags_only,12,12.33637917556209,13.156277810994352,0.8198986354322617,0.06646185430620116,MATERIAL_CHANGE
mae,lags_only,12,8.337795852925735,8.415440355764852,0.07764450283911728,0.009312353553472024,MATERIAL_CHANGE
skill_rmse_vs_persistence,lags_only,12,-0.0110769267067478,-0.068655288860751,0.05757836215400319,5.198044879987138,MATERIAL_CHANGE
rmse,lags_only,24,15.903839442170158,11.69554542507108,4.208294017099078,0.264608683481832,MATERIAL_CHANGE
mae,lags_only,24,7.59662316680628,6.877711971386059,0.7189111954202207,0.0946356268613572,MATERIAL_CHANGE
skill_rmse_vs_persistence,lags_only,24,-0.254807983906278,0.1617672309570762,0.41657521486335425,1.6348593496841783,MATERIAL_CHANGE
rmse,lags_meteo,1,5.002629343558434,4.964512363089407,0.03811698046902734,0.00761938929537287,MATERIAL_CHANGE
mae,lags_meteo,1,3.4992172159044084,3.4679387492102545,0.031278466694153906,0.008938703934122497,MATERIAL_CHANGE
skill_rmse_vs_persistence,lags_meteo,1,0.0155824474879259,-0.0757574188752319,0.0913398663631578,5.861715011966685,MATERIAL_CHANGE
rmse,lags_meteo,6,6.046557049870543,6.188382970580198,0.14182592070965505,0.023455649147094634,MATERIAL_CHANGE
mae,lags_meteo,6,4.153433444459787,4.352926977260693,0.19949353280090598,0.04803099302506169,MATERIAL_CHANGE
skill_rmse_vs_persistence,lags_meteo,6,0.2040604576509296,0.0773795018566712,0.1266809557942584,0.6208010961680861,MATERIAL_CHANGE
rmse,lags_meteo,12,11.434179160671912,12.163195183228874,0.7290160225569622,0.06375761760533082,MATERIAL_CHANGE
mae,lags_meteo,12,8.074459620982925,8.123571614961367,0.04911199397844257,0.006082387711843438,MATERIAL_CHANGE
skill_rmse_vs_persistence,lags_meteo,12,0.0628664569513163,0.0120106120637827,0.050855844887533606,0.8089503902998112,MATERIAL_CHANGE
rmse,lags_meteo,24,14.36620627972122,11.584467858298328,2.781738421422892,0.19363068908104752,MATERIAL_CHANGE
mae,lags_meteo,24,7.5251326554239135,7.001550561028558,0.5235820943953557,0.06957778930554424,MATERIAL_CHANGE
skill_rmse_vs_persistence,lags_meteo,24,-0.1334892057850683,0.1697282839041993,0.3032174896892676,2.2714757189991808,MATERIAL_CHANGE
H_strict_max_run,lags_only,,9.0,10.0,1.0,0.1111111111111111,MATERIAL_CHANGE
H_strict_max_run,lags_meteo,,17.0,21.0,4.0,0.23529411764705882,MATERIAL_CHANGE
H_strict_max_run,delta,,8.0,11.0,3.0,0.375,MATERIAL_CHANGE
