file,station,rows,columns,date_column,datetime_parse_failures,start,end,expected_hourly_rows,hourly_coverage_pct,duplicate_timestamps,pm10_available,pm25_available,meteo_columns_available,aux_pollutants_available,PM10_available,PM10_missing_pct,PM10_negative_count,PM10_zero_count,PM10_min,PM10_p50,PM10_p95,PM10_p99,PM10_max,PM10_iqr_outlier_count,PM2.5_available,PM2.5_missing_pct,PM2.5_negative_count,PM2.5_zero_count,PM2.5_min,PM2.5_p50,PM2.5_p95,PM2.5_p99,PM2.5_max,PM2.5_iqr_outlier_count,NO2_available,NO2_missing_pct,NO2_negative_count,NO2_zero_count,NO2_min,NO2_p50,NO2_p95,NO2_p99,NO2_max,NO2_iqr_outlier_count,O3_available,O3_missing_pct,O3_negative_count,O3_zero_count,O3_min,O3_p50,O3_p95,O3_p99,O3_max,O3_iqr_outlier_count,SO2_available,SO2_missing_pct,SO2_negative_count,SO2_zero_count,SO2_min,SO2_p50,SO2_p95,SO2_p99,SO2_max,SO2_iqr_outlier_count,CO_available,CO_missing_pct,CO_negative_count,CO_zero_count,CO_min,CO_p50,CO_p95,CO_p99,CO_max,CO_iqr_outlier_count,rain_available,rain_missing_pct,rain_negative_count,rain_zero_count,rain_min,rain_p50,rain_p95,rain_p99,rain_max,rain_iqr_outlier_count,temp_available,temp_missing_pct,temp_negative_count,temp_zero_count,temp_min,temp_p50,temp_p95,temp_p99,temp_max,temp_iqr_outlier_count,wetb_available,wetb_missing_pct,wetb_negative_count,wetb_zero_count,wetb_min,wetb_p50,wetb_p95,wetb_p99,wetb_max,wetb_iqr_outlier_count,dewpt_available,dewpt_missing_pct,dewpt_negative_count,dewpt_zero_count,dewpt_min,dewpt_p50,dewpt_p95,dewpt_p99,dewpt_max,dewpt_iqr_outlier_count,vappr_available,vappr_missing_pct,vappr_negative_count,vappr_zero_count,vappr_min,vappr_p50,vappr_p95,vappr_p99,vappr_max,vappr_iqr_outlier_count,rhum_available,rhum_missing_pct,rhum_negative_count,rhum_zero_count,rhum_min,rhum_p50,rhum_p95,rhum_p99,rhum_max,rhum_iqr_outlier_count,msl_available,msl_missing_pct,msl_negative_count,msl_zero_count,msl_min,msl_p50,msl_p95,msl_p99,msl_max,msl_iqr_outlier_count,wdsp_available,wdsp_missing_pct,wdsp_negative_count,wdsp_zero_count,wdsp_min,wdsp_p50,wdsp_p95,wdsp_p99,wdsp_max,wdsp_iqr_outlier_count,wddir_available,wddir_missing_pct,wddir_negative_count,wddir_zero_count,wddir_min,wddir_p50,wddir_p95,wddir_p99,wddir_max,wddir_iqr_outlier_count,audit_flags
Birr co offlay _finalised_merged_NA.csv,Birr co offlay,25465,14,Date and Time,0,2020-09-04 00:00:00,2023-08-01 00:00:00,25465,100.0,0,True,True,"rain,temp,wetb,dewpt,vappr,rhum,msl,wdsp,wddir","NO2,CO",True,0.027,0,617,0.0,10.36,31.373,61.2729,282.58,1416,True,0.024,0.0,617.0,0.0,5.93,21.9,48.6042,278.63,1665.0,True,0.024,625,2113,-14.29,8.23,33.1,49.9146,95.32,978,False,,,,,,,,,,False,,,,,,,,,,True,0.024,8329.0,2810.0,-2.2,0.11,1.61,2.195287,20.98,763.0,True,0.0,0,21131,0.0,0.0,0.6,2.0,18.0,4334,True,0.0,709,25,-7.2,10.1,18.3,22.2,30.1,199,True,0.0,862,30,-7.4,8.9,15.9,18.3,22.7,75,True,0.0,1497,70,-8.0,7.6,14.7,16.7,20.3,53,True,0.0,0,0,3.4,10.5,16.7,19.0,23.8,133,True,0.0,0,0,32.0,87.0,97.0,99.0,100.0,787,True,0.0,0,0,959.6,1015.5,1033.1,1038.5,1046.6,95,True,0.008,0,46,0.0,7.0,16.0,21.0,30.0,338,True,0.0,0,0,10.0,200.0,330.0,360.0,360.0,0,OK
Dublin Airport_finalised_merged_dublin_NA.csv,Dublin Airport,25462,20,Date and Time,0,2020-06-30 02:00:00,2023-05-26 23:00:00,25462,100.0,0,True,True,"rain,temp,wetb,dewpt,vappr,rhum,msl,wdsp,wddir","NO2,SO2",True,0.0,0,0,0.59,14.75,45.31,75.7334,460.05,1430,True,0.0,0.0,0.0,0.35,6.56,20.39,37.9234,211.47,1521.0,True,0.0,738,59,-15.37,22.145,59.3695,73.81,121.71,114,False,,,,,,,,,,True,0.0,9097.0,116.0,-11.88,0.78,8.289816,16.53,1151.36,1739.0,False,,,,,,,,,,True,0.0,0,22301,0.0,0.0,0.5,1.8,13.8,3161,True,0.0,639,41,-5.6,10.1,18.0,21.5,29.1,80,True,0.0,900,44,-5.9,8.7,15.6,17.8,20.3,19,True,0.0,1770,73,-7.6,7.1,14.3,16.1,19.1,11,True,0.0,0,0,3.4,10.1,16.3,18.3,22.1,77,True,0.0,0,0,24.0,84.0,98.0,100.0,100.0,300,True,0.0,0,0,961.8,1015.6,1033.4,1038.8,1047.2,105,True,0.0,0,2,0.0,8.0,17.0,21.0,35.0,704,True,0.0,0,0,10.0,230.0,320.0,350.0,360.0,0,OK
Dundalk Co Louth_finalised merged_NA.csv,Dundalk Co Louth,25675,14,Date and Time,0,2020-06-30 02:00:00,2023-06-04 20:00:00,25675,100.0,0,True,False,"rain,temp,wetb,dewpt,vappr,rhum,msl,wdsp,wddir","NO2,SO2,CO",True,0.265,0,1405,0.0,10.0,25.0,40.974,2010.8,1194,False,,,,,,,,,,True,0.265,46,50,-0.43,7.36,31.92,50.9494,509.79,1979,False,,,,,,,,,,True,0.265,1756.0,40.0,-1.71,1.87,7.52,11.6494,780.22,1544.0,True,0.265,425.0,589.0,-0.12,0.31,0.65,0.96,2.81,438.0,True,0.0,0,21720,0.0,0.0,0.6,2.0,21.2,3955,True,0.0,746,35,-7.8,10.0,18.1,21.7,30.2,144,True,0.0,954,41,-8.0,8.8,15.73,18.0,21.5,55,True,0.0,1620,76,-8.7,7.5,14.5,16.5,19.0,28,True,0.0,0,0,3.2,10.3,16.6,18.7,22.0,128,True,0.0,0,0,27.0,87.0,98.0,99.0,100.0,415,True,0.0,0,0,960.6,1015.4,1033.1,1038.6,1046.9,96,True,0.0,0,24,0.0,7.0,16.0,20.0,29.0,263,True,0.0,0,0,10.0,210.0,330.0,360.0,360.0,0,PM10_max_gt_500
Pearse street dublin_finalised merging_NA.csv,Pearse street dublin,22098,20,Date and Time,0,2021-01-22 07:00:00,2023-08-01 00:00:00,22098,100.0,0,True,True,"rain,temp,wetb,dewpt,vappr,rhum,msl,wdsp,wddir","NO2,O3",True,0.0,0,69,0.0,11.34,31.0,51.04,357.98,992,True,0.0,0.0,69.0,0.0,5.88,17.8315,29.8712,106.39,1230.0,True,0.0,251,143,-0.52,35.68,74.42,89.0803,165.74,71,True,0.0,866.0,236.0,-7.05,31.01,70.506,82.8703,107.97,9.0,False,,,,,,,,,,False,,,,,,,,,,True,0.009,0,19471,0.0,0.0,0.4,1.8,13.8,2625,True,0.0,480,30,-4.5,10.4,18.4,22.0,29.1,56,True,0.0,707,39,-4.8,9.0,15.7,17.8,20.3,8,True,0.0,1487,62,-7.6,7.3,14.3,16.0,19.1,6,True,0.0,0,0,3.4,10.2,16.3,18.2,22.1,38,True,0.0,0,0,24.0,83.0,97.0,100.0,100.0,122,True,0.0,0,0,961.8,1015.8,1033.6,1039.1,1047.2,94,True,0.0,0,2,0.0,8.0,17.0,21.0,35.0,593,True,0.0,0,0,10.0,220.0,320.0,350.0,360.0,0,OK
Rathmines_Dublin_finalised merged_NA.csv,Rathmines Dublin,27047,21,Date and Time,0,2020-06-30 02:00:00,2023-08-01 00:00:00,27047,100.0,0,True,True,"rain,temp,wetb,dewpt,vappr,rhum,msl,wdsp,wddir","NO2,O3,SO2",True,0.0,121,1985,-488.17,8.25,26.98,49.9224,633.74,1368,True,0.0,407.0,1995.0,-66.54,4.67,20.217,42.0608,321.24,1887.0,True,0.0,102,329,-1.74,10.5,40.208861,58.697,260.19,1507,True,0.0,210.0,162.0,-10.58,51.81,83.0,93.55,141.5,25.0,True,0.0,3544.0,245.0,-11.71,1.03,3.19,5.9,65.16,745.0,False,,,,,,,,,,True,0.0,0,23622,0.0,0.0,0.5,1.9,13.8,3425,True,0.0,639,41,-5.6,10.5,18.3,21.6,29.1,59,True,0.0,900,44,-5.9,9.1,15.8,17.8,20.3,16,True,0.0,1770,73,-7.6,7.4,14.5,16.1,19.1,13,True,0.0,0,0,3.4,10.3,16.5,18.4,22.1,27,True,0.0,0,0,24.0,84.0,97.0,100.0,100.0,213,True,0.0,0,0,961.8,1015.4,1033.1,1038.7,1047.2,141,True,0.0,0,2,0.0,8.0,17.0,21.0,35.0,718,True,0.0,0,0,10.0,230.0,320.0,350.0,360.0,0,PM10_negative_values;PM10_max_gt_500;PM2.5_negative_values
Ringsend_dublin_merging finalised_NA.csv,Ringsend dublin,27238,20,Date and Time,191,2020-06-30 02:00:00,2023-08-01 00:00:00,27047,100.706,190,True,True,"rain,temp,wetb,dewpt,vappr,rhum,msl,wdsp,wddir","NO2,SO2",True,0.705,9,340,-4.0,11.29,40.8675,75.291,446.35,1871,True,0.705,0.0,338.0,0.0,5.58,19.362817,36.7,378.2,1771.0,True,0.705,3,195,-0.84,14.47,48.94,64.632,129.29,710,False,,,,,,,,,,True,0.705,3899.0,237.0,-3.04,1.83,7.1,15.131,37.19,1074.0,False,,,,,,,,,,True,0.701,0,23622,0.0,0.0,0.5,1.9,13.8,3425,True,0.701,639,41,-5.6,10.5,18.3,21.6,29.1,59,True,0.701,900,44,-5.9,9.1,15.8,17.8,20.3,16,True,0.701,1770,73,-7.6,7.4,14.5,16.1,19.1,13,True,0.701,0,0,3.4,10.3,16.5,18.4,22.1,27,True,0.701,0,0,24.0,84.0,97.0,100.0,100.0,213,True,0.701,0,0,961.8,1015.4,1033.1,1038.7,1047.2,141,True,0.701,0,2,0.0,8.0,17.0,21.0,35.0,718,True,0.701,0,0,10.0,230.0,320.0,350.0,360.0,0,datetime_parse_failures;duplicate_timestamps;PM10_negative_values
edenderry co offlay_merged_NA.csv,edenderry co offlay,16784,14,Date and Time,0,2021-08-31 17:00:00,2023-08-03 13:00:00,16845,99.638,0,True,True,"rain,temp,wetb,dewpt,vappr,rhum,msl,wdsp,wddir","NO2,SO2",True,0.995,0,0,0.7,12.21,45.23,96.5564,449.37,1150,True,0.995,0.0,0.0,0.31,8.02,40.262,90.1672,444.73,1418.0,True,1.942,923,2,-38.93,5.46,22.1815,35.1143,84.46,842,False,,,,,,,,,,True,0.596,1797.0,15.0,-26.76,2.97,14.5,20.18,535.78,803.0,False,,,,,,,,,,True,0.0,0,13736,0.0,0.0,0.7,2.3,14.3,3048,True,0.0,419,21,-6.2,10.0,18.2,21.6,29.7,62,True,0.0,518,21,-6.4,9.0,15.5,17.7,21.8,31,True,0.0,1038,57,-7.0,7.6,14.2,16.1,18.7,13,True,0.0,0,0,3.6,10.5,16.2,18.4,21.6,67,True,0.0,0,0,30.0,87.0,97.0,99.0,100.0,240,True,0.0,0,0,959.4,1015.1,1033.585,1039.017,1047.0,54,True,0.0,0,46,0.0,6.0,12.0,15.0,22.0,261,True,0.0,0,0,10.0,210.0,330.0,350.0,360.0,0,OK
henry street Limerick_merged_NA.csv,henry street Limerick,18279,20,Date and Time,0,2021-06-30 10:00:00,2023-08-03 18:00:00,18345,99.64,0,True,True,"rain,temp,wetb,dewpt,vappr,rhum,msl,wdsp,wddir","NO2,O3",True,0.175,0,0,0.36,10.11,29.304,52.0632,378.27,956,True,0.175,0.0,0.0,0.19,5.35,19.63,39.9078,374.94,1275.0,True,0.175,49,1,-1.58,11.06,38.987,54.687,84.91,819,True,0.17,2.0,0.0,-2.08,51.5,81.78,92.8553,142.87,47.0,False,,,,,,,,,,False,,,,,,,,,,True,0.0,0,14999,0.0,0.0,0.7,2.1,12.5,3280,True,0.0,236,15,-4.7,11.7,19.2,24.1,30.4,215,True,0.0,282,14,-4.9,10.4,16.6,18.9,22.3,98,True,0.0,650,37,-6.7,8.7,15.3,17.0,20.5,62,True,0.0,0,0,3.7,11.3,17.4,19.4,24.1,37,True,0.0,0,0,30.0,85.0,97.0,99.0,100.0,391,True,0.0,0,0,961.6,1015.7,1033.11,1038.4,1046.8,87,True,0.06,0,26,0.0,8.0,17.0,22.0,36.0,299,True,0.06,0,26,0.0,190.0,320.0,340.0,360.0,0,OK
porrlaoise co laois_finalised merged_NA.csv,porrlaoise co laois,27047,15,Date and Time,0,2020-06-30 02:00:00,2023-08-01 00:00:00,27047,100.0,0,True,True,"rain,temp,wetb,dewpt,vappr,rhum,msl,wdsp,wddir","NO2,SO2,CO",True,0.0,0,75,0.0,8.94,27.0,46.4234,242.79,1403,True,0.0,0.0,76.0,0.0,5.5,20.917,40.5054,231.13,1854.0,True,0.0,332,155,-1.14,5.72,24.66,40.7248,74.51,1950,False,,,,,,,,,,True,0.0,1758.0,152.0,-8.53,1.92,5.38,8.33,75.57,406.0,True,0.0,2672.0,377.0,-0.59,0.18,0.84,1.05,1.67,1668.0,True,0.0,0,23067,0.0,0.0,0.6,2.0,12.1,3980,True,0.0,588,37,-6.3,10.7,19.2,23.354,31.2,154,True,0.0,799,43,-6.5,9.4,16.3,18.5,21.6,22,True,0.0,1572,62,-7.8,7.8,14.8,16.7,18.7,39,True,0.0,0,0,3.4,10.6,16.9,19.0,21.6,38,True,0.0,0,0,21.0,85.0,97.0,98.0,100.0,603,True,0.0,0,0,963.6,1015.8,1033.1,1038.8,1047.6,135,True,0.0,0,7,0.0,6.0,16.0,21.0,31.0,412,True,0.018,0,0,10.0,200.0,340.0,360.0,360.0,0,OK
