station,condition,model,n_origins,first_origin,last_origin,n_rows,horizons_present,n_horizons
Madrid,lags_meteo,xgboost_direct,362,2023-01-01,2023-12-30,8688,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",24
Madrid,lags_only,xgboost_direct,362,2023-01-01,2023-12-30,8688,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",24
Madrid,reference,persistence,362,2023-01-01,2023-12-30,8688,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",24
Madrid,reference,sarima,362,2023-01-01,2023-12-30,8688,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",24
