station,horizon,forecast_origin,target_timestamp,latest_pm10_feature_timestamp,earliest_met_timestamp,latest_met_timestamp,last_training_target_timestamp,temporal_contract_valid
Pearse street dublin,24,2023-06-01 12:00:00,2023-06-02 12:00:00,2023-06-01 11:00:00,2023-06-01 12:00:00,2023-06-01 12:00:00,2023-06-01 11:00:00,True
Ringsend dublin,1,2023-01-01 00:00:00,2023-01-01 01:00:00,2022-12-31 23:00:00,2023-01-01 00:00:00,2023-01-01 00:00:00,2022-12-31 23:00:00,True
Ringsend dublin,1,2023-06-01 12:00:00,2023-06-01 13:00:00,2023-06-01 11:00:00,2023-06-01 12:00:00,2023-06-01 12:00:00,2023-06-01 11:00:00,True
Ringsend dublin,12,2023-01-01 00:00:00,2023-01-01 12:00:00,2022-12-31 23:00:00,2023-01-01 00:00:00,2023-01-01 00:00:00,2022-12-31 23:00:00,True
Ringsend dublin,12,2023-06-01 12:00:00,2023-06-02 00:00:00,2023-06-01 11:00:00,2023-06-01 12:00:00,2023-06-01 12:00:00,2023-06-01 11:00:00,True
Ringsend dublin,24,2023-01-01 00:00:00,2023-01-02 00:00:00,2022-12-31 23:00:00,2023-01-01 00:00:00,2023-01-01 00:00:00,2022-12-31 23:00:00,True
Ringsend dublin,24,2023-06-01 12:00:00,2023-06-02 12:00:00,2023-06-01 11:00:00,2023-06-01 12:00:00,2023-06-01 12:00:00,2023-06-01 11:00:00,True
edenderry co offlay,1,2023-01-01 00:00:00,2023-01-01 01:00:00,2022-12-31 23:00:00,2023-01-01 00:00:00,2023-01-01 00:00:00,2022-12-31 23:00:00,True
edenderry co offlay,1,2023-06-01 12:00:00,2023-06-01 13:00:00,2023-06-01 11:00:00,2023-06-01 12:00:00,2023-06-01 12:00:00,2023-06-01 11:00:00,True
edenderry co offlay,12,2023-01-01 00:00:00,2023-01-01 12:00:00,2022-12-31 23:00:00,2023-01-01 00:00:00,2023-01-01 00:00:00,2022-12-31 23:00:00,True
edenderry co offlay,12,2023-06-01 12:00:00,2023-06-02 00:00:00,2023-06-01 11:00:00,2023-06-01 12:00:00,2023-06-01 12:00:00,2023-06-01 11:00:00,True
edenderry co offlay,24,2023-01-01 00:00:00,2023-01-02 00:00:00,2022-12-31 23:00:00,2023-01-01 00:00:00,2023-01-01 00:00:00,2022-12-31 23:00:00,True
edenderry co offlay,24,2023-06-01 12:00:00,2023-06-02 12:00:00,2023-06-01 11:00:00,2023-06-01 12:00:00,2023-06-01 12:00:00,2023-06-01 11:00:00,True
henry street Limerick,1,2023-01-01 00:00:00,2023-01-01 01:00:00,2022-12-31 23:00:00,2023-01-01 00:00:00,2023-01-01 00:00:00,2022-12-31 23:00:00,True
henry street Limerick,1,2023-06-01 12:00:00,2023-06-01 13:00:00,2023-06-01 11:00:00,2023-06-01 12:00:00,2023-06-01 12:00:00,2023-06-01 11:00:00,True
henry street Limerick,12,2023-01-01 00:00:00,2023-01-01 12:00:00,2022-12-31 23:00:00,2023-01-01 00:00:00,2023-01-01 00:00:00,2022-12-31 23:00:00,True
henry street Limerick,12,2023-06-01 12:00:00,2023-06-02 00:00:00,2023-06-01 11:00:00,2023-06-01 12:00:00,2023-06-01 12:00:00,2023-06-01 11:00:00,True
henry street Limerick,24,2023-01-01 00:00:00,2023-01-02 00:00:00,2022-12-31 23:00:00,2023-01-01 00:00:00,2023-01-01 00:00:00,2022-12-31 23:00:00,True
henry street Limerick,24,2023-06-01 12:00:00,2023-06-02 12:00:00,2023-06-01 11:00:00,2023-06-01 12:00:00,2023-06-01 12:00:00,2023-06-01 11:00:00,True
porrlaoise co laois,1,2023-01-01 00:00:00,2023-01-01 01:00:00,2022-12-31 23:00:00,2023-01-01 00:00:00,2023-01-01 00:00:00,2022-12-31 23:00:00,True
porrlaoise co laois,1,2023-06-01 12:00:00,2023-06-01 13:00:00,2023-06-01 11:00:00,2023-06-01 12:00:00,2023-06-01 12:00:00,2023-06-01 11:00:00,True
porrlaoise co laois,12,2023-01-01 00:00:00,2023-01-01 12:00:00,2022-12-31 23:00:00,2023-01-01 00:00:00,2023-01-01 00:00:00,2022-12-31 23:00:00,True
porrlaoise co laois,12,2023-06-01 12:00:00,2023-06-02 00:00:00,2023-06-01 11:00:00,2023-06-01 12:00:00,2023-06-01 12:00:00,2023-06-01 11:00:00,True
porrlaoise co laois,24,2023-01-01 00:00:00,2023-01-02 00:00:00,2022-12-31 23:00:00,2023-01-01 00:00:00,2023-01-01 00:00:00,2022-12-31 23:00:00,True
porrlaoise co laois,24,2023-06-01 12:00:00,2023-06-02 12:00:00,2023-06-01 11:00:00,2023-06-01 12:00:00,2023-06-01 12:00:00,2023-06-01 11:00:00,True
