station,horizon,delta_skill_mean,delta_skill_ci95_low,delta_skill_ci95_high
Pearse street dublin,6,0.0406,0.0196,0.0633
Pearse street dublin,7,0.0261,0.0001,0.0551
Pearse street dublin,8,0.0108,-0.0175,0.0431
Pearse street dublin,9,0.0368,0.0171,0.063
Pearse street dublin,10,0.0143,0.0008,0.046
Pearse street dublin,11,0.0469,0.0287,0.0628
Pearse street dublin,12,0.0234,0.008,0.0398
Pearse street dublin,13,0.0516,0.0283,0.081
Pearse street dublin,14,0.0322,0.019,0.0478
Pearse street dublin,15,0.0369,0.0153,0.0527
Pearse street dublin,16,0.0397,0.026,0.0552
Pearse street dublin,17,0.0167,-0.0034,0.0383
Pearse street dublin,18,0.0134,-0.0021,0.0333
Pearse street dublin,19,-0.0044,-0.0191,0.0126
Pearse street dublin,20,-0.0163,-0.0357,0.0119
Pearse street dublin,21,0.0028,-0.0276,0.0299
Pearse street dublin,22,-0.0044,-0.0334,0.0199
Pearse street dublin,23,0.0141,-0.0218,0.0371
Pearse street dublin,24,0.0625,-0.0221,0.1544
Ringsend dublin,1,0.0195,-0.0199,0.0756
Ringsend dublin,2,0.0099,-0.0167,0.0696
Ringsend dublin,3,0.0483,0.0176,0.0762
Ringsend dublin,4,-0.0107,-0.0538,0.0303
Ringsend dublin,5,-0.0087,-0.0741,0.0481
Ringsend dublin,6,-0.0067,-0.0622,0.0451
Ringsend dublin,7,-0.0076,-0.0927,0.0601
Ringsend dublin,8,0.0004,-0.085,0.0654
Ringsend dublin,9,0.0543,-0.0184,0.1129
Ringsend dublin,10,0.0383,-0.0463,0.1074
Ringsend dublin,11,0.0805,0.0139,0.1371
Ringsend dublin,12,0.0495,-0.0257,0.122
Ringsend dublin,13,-0.012,-0.0786,0.0284
Ringsend dublin,14,0.0098,-0.0296,0.0579
Ringsend dublin,15,0.0184,-0.0437,0.0916
Ringsend dublin,16,0.017,-0.0363,0.0792
Ringsend dublin,17,0.0211,-0.0259,0.0728
Ringsend dublin,18,0.0221,-0.0123,0.0616
Ringsend dublin,19,0.0368,-0.002,0.082
Ringsend dublin,20,0.0601,0.0257,0.1012
Ringsend dublin,21,0.0426,0.0029,0.0842
Ringsend dublin,22,0.021,-0.0186,0.0627
Ringsend dublin,23,0.0244,0.0004,0.0462
Ringsend dublin,24,-0.001,-0.0199,0.0238
edenderry co offlay,1,0.0135,-0.0908,0.1002
edenderry co offlay,2,-0.0161,-0.0525,0.0274
edenderry co offlay,3,-0.0813,-0.1268,-0.0105
edenderry co offlay,4,-0.0328,-0.0765,0.0318
edenderry co offlay,5,-0.0727,-0.1306,0.0181
edenderry co offlay,6,-0.0313,-0.0653,0.0158
edenderry co offlay,7,-0.0641,-0.106,-0.0099
edenderry co offlay,8,-0.0827,-0.1816,0.0564
edenderry co offlay,9,-0.0065,-0.1111,0.0434
edenderry co offlay,10,-0.025,-0.089,0.0092
edenderry co offlay,11,-0.005,-0.035,0.0181
edenderry co offlay,12,0.0145,-0.032,0.0737
edenderry co offlay,13,0.048,-0.0265,0.1053
edenderry co offlay,14,0.0148,-0.0338,0.0536
edenderry co offlay,15,0.0385,-0.0445,0.0908
edenderry co offlay,16,0.096,-0.0156,0.1797
edenderry co offlay,17,0.145,-0.0108,0.2504
edenderry co offlay,18,0.1266,-0.0112,0.224
edenderry co offlay,19,0.1104,-0.0007,0.1592
edenderry co offlay,20,0.0859,0.0133,0.144
edenderry co offlay,21,0.0676,0.0271,0.114
edenderry co offlay,22,0.0571,0.0079,0.1154
edenderry co offlay,23,0.041,-0.0126,0.0704
edenderry co offlay,24,0.0121,-0.0319,0.0419
henry street Limerick,1,0.0199,-0.0118,0.0506
henry street Limerick,2,0.0751,0.0263,0.1131
henry street Limerick,3,0.0694,-0.0113,0.1488
henry street Limerick,4,0.0362,-0.0406,0.0979
henry street Limerick,5,-0.0179,-0.0798,0.0563
henry street Limerick,6,-0.0356,-0.0572,-0.0013
henry street Limerick,7,-0.0237,-0.0687,0.0593
henry street Limerick,8,0.0127,-0.0416,0.0809
henry street Limerick,9,0.0245,-0.0238,0.071
henry street Limerick,10,0.0075,-0.0342,0.0801
henry street Limerick,11,0.0153,-0.0539,0.0813
henry street Limerick,12,0.0187,-0.0696,0.0988
henry street Limerick,13,0.0718,0.0129,0.1135
henry street Limerick,14,0.0605,-0.0151,0.1078
henry street Limerick,15,0.0072,-0.0383,0.0438
henry street Limerick,16,0.0236,-0.0344,0.0646
henry street Limerick,17,0.0994,-0.0067,0.166
henry street Limerick,18,0.0307,-0.032,0.0774
henry street Limerick,19,0.0641,0.0085,0.1034
henry street Limerick,20,0.0617,0.0114,0.0998
henry street Limerick,21,0.0286,-0.0143,0.0682
henry street Limerick,22,-0.0001,-0.0302,0.0379
henry street Limerick,23,-0.0002,-0.0315,0.0295
henry street Limerick,24,0.0228,-0.0098,0.0591
porrlaoise co laois,1,0.0494,-0.0242,0.1091
porrlaoise co laois,2,-0.0036,-0.0382,0.0366
